G1Q00004,G2Q00007,G1Q00008,region,postulacion_final,rango_etario,conteo
Varón,Hasta dos años,CABA,BUENOS AIRES,Sí,21 a 30 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,41 a 50 años,1
Mujer,Hasta dos años,Misiones,NEA,Sí,21 a 30 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,51 a 60 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,No,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,41 a 50 años,1
Mujer,Hasta dos años,Salta,NOA,No,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,Sí,31 a 40 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,61 a 70 años,1
Prefiero no decirlo,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Varón,Hasta dos años,Chubut,PATAGONIA,Sí,41 a 50 años,1
Mujer,Hasta dos años,Neuquén,PATAGONIA,Sí,31 a 40 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,18 a 20 años,1
Mujer,Hasta dos años,Tucumán,NOA,Sí,31 a 40 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,41 a 50 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Prefiero no decirlo,Hasta dos años,San Juan,CUYO,Sí,41 a 50 años,1
Mujer,Hasta dos años,Salta,NOA,Sí,31 a 40 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,No,31 a 40 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,31 a 40 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,41 a 50 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,51 a 60 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,21 a 30 años,1
Varón,Hasta dos años,Chaco,NEA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Salta,NOA,Sí,51 a 60 años,1
Varón,Hasta dos años,Santa Fe,CENTRO,Sí,21 a 30 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Otro,Hasta dos años,Córdoba,CENTRO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Varón,Hasta dos años,Jujuy,NOA,Sí,31 a 40 años,1
